"table","category","group","analysis","metric","old_value","new_value","difference","old_display","new_display"
"Table 7","Discipline","Finance","ff4","pub_oos",74.0630397824483,75.3667311474322,1.30369136498388,"74","75"
"Table 7","Discipline","Finance","ff4","pub_oos_se",3.83358266460814,9.25794909714116,5.42436643253303,"4","9"
"Table 7","Discipline","Finance","ff4","outperform",10.8483800507835,12.0802847559982,1.23190470521477,"11","12"
"Table 7","Discipline","Finance","ff4","outperform_se",4.0514127959034,10.2904418015854,6.23902900568205,"4","10"
"Table 7","Discipline","Accounting","ff4","pub_oos",44.2853452603562,46.7346917737719,2.4493465134157,"44","47"
"Table 7","Discipline","Accounting","ff4","pub_oos_se",5.20141890394669,8.77514259914033,3.57372369519363,"5","9"
"Table 7","Discipline","Accounting","ff4","outperform",-17.4773853064506,-15.127147251039,2.35023805541161,"-17","-15"
"Table 7","Discipline","Accounting","ff4","outperform_se",5.61417152805195,10.153532236909,4.53936070885702,"6","10"
"Table 7","Journal Rank","JF, JFE, RFS","ff4","pub_oos",78.2273051730242,78.2273051730241,-2.8421709430404e-14,"78","78"
"Table 7","Journal Rank","JF, JFE, RFS","ff4","pub_oos_se",4.4186134264942,10.4298966836959,6.01128325720174,"4","10"
"Table 7","Journal Rank","JF, JFE, RFS","ff4","outperform",15.4348058463337,15.4348058463337,-8.88178419700125e-15,"15","15"
"Table 7","Journal Rank","JF, JFE, RFS","ff4","outperform_se",4.66650366833874,11.7298853409693,7.06338167263051,"5","12"
"Table 7","Journal Rank","AR, JAR, JAE","ff4","pub_oos",44.2853452603562,44.2853452603562,0,"44","44"
"Table 7","Journal Rank","AR, JAR, JAE","ff4","pub_oos_se",5.20141890394669,8.39334271278246,3.19192380883577,"5","8"
"Table 7","Journal Rank","AR, JAR, JAE","ff4","outperform",-17.4773853064506,-17.4773853064506,0,"-17","-17"
"Table 7","Journal Rank","AR, JAR, JAE","ff4","outperform_se",5.61417152805195,9.96304457525452,4.34887304720257,"6","10"
"Table 7","Journal Rank","Other","ff4","pub_oos",60.652717608309,60.652717608309,2.8421709430404e-14,"61","61"
"Table 7","Journal Rank","Other","ff4","pub_oos_se",7.69766392200496,12.1693142496573,4.47165032765237,"8","12"
"Table 7","Journal Rank","Other","ff4","outperform",-3.92143929966058,-3.92143929966058,-5.32907051820075e-15,"-4","-4"
"Table 7","Journal Rank","Other","ff4","outperform_se",8.15423647772256,13.3509236261213,5.19668714839877,"8","13"
"Table IA.10","","No Model","ff4","pub_oos",68.854212703114,68.8542127031141,2.8421709430404e-14,"69","69"
"Table IA.10","","No Model","ff4","pub_oos_se",3.40130401721766,8.08775330146517,4.68644928424751,"3","8"
"Table IA.10","","No Model","ff4","outperform",5.90942558772863,5.90942558772863,-8.88178419700125e-16,"6","6"
"Table IA.10","","No Model","ff4","outperform_se",3.58891710208677,8.98623352872687,5.3973164266401,"4","9"
"Table IA.10","","Any Model","ff4","pub_oos",41.3894410262976,45.2168565025964,3.8274154762988,"41","45"
"Table IA.10","","Any Model","ff4","pub_oos_se",12.5029500652571,18.382120235417,5.87917017015992,"13","18"
"Table IA.10","","Any Model","ff4","outperform",-12.8217612532887,-12.9030262087507,-0.0812649554620766,"-13","-13"
"Table IA.10","","Any Model","ff4","outperform_se",13.7004373987638,13.1812791419515,-0.519158256812334,"14","13"
